machineId,R2_CV,RMSE_CV,MAPE_CV,n_samples,res_mean,res_std,n_anom_flagged,pct_anom_flagged,model_path
3894,0.8911926056545564,9.28291991496263,5.145173194573753,1143,0.01718374199129002,5.505255813880472,26,1.187756966651439,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_3894_response_model.pkl
4054,0.8911926056545564,9.28291991496263,5.145173194573753,1143,0.01718374199129002,5.505255813880472,26,1.187756966651439,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_4054_response_model.pkl
3392,0.8911926056545564,9.28291991496263,5.145173194573753,1143,0.01718374199129002,5.505255813880472,26,1.187756966651439,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_3392_response_model.pkl
2828,0.7857213254948553,31.41057997528146,68.78950217897871,6416,-0.1511554937354138,29.70059755859278,2,0.020768431983385256,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2828_response_model.pkl
2763,0.7521463439444015,31.351924132740457,66.11371777095493,6549,0.04792171843629412,29.697980572143866,2,0.020559210526315787,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2763_response_model.pkl
2826,0.7382522998787646,34.51632991654732,67.52858820561542,6478,-0.022424335641855673,30.877854754825975,10,0.10382059800664453,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2826_response_model.pkl
2801,0.7271290528449145,30.612807212468557,67.08530995666027,6261,-0.016528727438090248,29.225759186512807,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2801_response_model.pkl
2743,0.7236510406086769,31.381695026413205,72.54453969572847,9381,0.06790100008519388,30.380314552605842,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2743_response_model.pkl
2827,0.7218350596282863,31.24881777136314,70.86889297307454,6475,-0.03260075863553261,29.826545552789835,1,0.010384215991692628,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2827_response_model.pkl
2821,0.7180521633054464,32.4894627750363,69.39127701212026,6489,0.03173476165906953,30.162666070526516,6,0.06224712107065049,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2821_response_model.pkl
2765,0.697409777493445,31.538106213209517,67.39613060084848,6533,0.004677381721234397,29.74349024337297,3,0.030873726458783574,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2765_response_model.pkl
