machineId,n_running,P50_KW,Full_R2,Full_RMSE,Full_MAPE,Bulk_R2 (>P50),Bulk_RMSE,Bulk_MAPE,source
2743,2867,66.373,0.6922818142571745,31.632884754340882,71.26755984913187,0.750069152222481,31.849855816066697,27.02720317583408,trend_wide.csv (June 2026)
2738,2880,66.3865,0.6906386520751449,32.11060825177656,70.98258881867987,0.7368130926857559,32.457856651652065,26.615836772065315,trend_wide.csv (June 2026)
2741,2880,66.236,0.6854187108950605,32.13597140179861,70.8118481201222,0.717510051719716,33.380721563258945,27.12702880654866,trend_wide.csv (June 2026)
2744,2880,65.4965,0.6463115471478966,31.56372833561741,71.33746082357851,0.6707850797138859,31.723330222290798,26.890389038021777,trend_wide.csv (June 2026)
2739,2880,66.2995,0.641463003931228,31.09000379159625,69.51076625046093,0.6594453949251273,31.350047489024732,26.849176492660682,trend_wide.csv (June 2026)
2761,624,242.0,0.6451161598426837,728.7371130713613,340.79297690236945,0.6269098441663801,839.04814892112,29.220103538720966,trend_wide.csv (June 2026)
2757,2867,66.745,0.6140587227806378,32.040095273911426,72.12956537429433,0.6264655452522465,32.50446320338206,27.03415716612786,trend_wide.csv (June 2026)
2758,2831,64.46,0.5821022955992262,31.7232313336927,73.76958482287789,0.6015276833948124,32.017305623820455,27.349052613568276,trend_wide.csv (June 2026)
2740,2880,66.87049999999999,0.5954461386302301,31.786162031715342,71.55875536354986,0.5868378624343912,32.18573293446756,26.881276831878626,trend_wide.csv (June 2026)
2751,2856,65.304,0.5030989414376431,32.11037708531339,73.50036556046399,0.46232650247063345,32.41440134205319,27.327262753852434,trend_wide.csv (June 2026)
1657,17924,65.92150000000001,0.3938378091924044,31.673967793275175,73.77126328240549,0.22809224141381756,31.68003581274539,27.34908611252827,2026 Full History
2759,2846,64.83,0.3715362038847434,31.298049012603308,72.16376329294017,0.17178574030694027,31.450902669230423,26.855284824659577,trend_wide.csv (June 2026)
2754,2845,64.633,0.3434075399592179,32.48683245855114,74.99527643750295,0.10886757767616506,32.82037805792958,27.695935183529198,trend_wide.csv (June 2026)
1661,17834,65.2835,0.22716318216953102,31.814377565238097,73.51770875567229,-0.34479006234504306,31.838064653274895,27.449504915516183,2026 Full History
2753,2844,64.8425,0.2255553002627022,31.79830793021348,71.97027676300371,-0.35823173947082787,32.168997600522346,27.187795641465655,trend_wide.csv (June 2026)
2755,2851,64.8,0.21982847958737728,32.45807502173145,76.3424054365064,-0.36461542547968295,32.73192854102639,28.030476362746427,trend_wide.csv (June 2026)
2745,2844,64.006,0.15184479102133808,32.17653708669475,73.62332461600292,-0.7300414036508296,32.8540664236284,27.96940999064298,trend_wide.csv (June 2026)
2756,2824,64.1575,0.10808654202299273,33.149406291509365,76.44937140862419,-0.8871893478400767,33.86327709888109,28.409980976467175,trend_wide.csv (June 2026)
2746,2845,63.572,-0.002809315217064956,31.84288485756196,74.95227651729023,-2.821112543762881,32.1168519684998,27.665974459473837,trend_wide.csv (June 2026)
2760,2834,64.32849999999999,-0.007725018222855651,32.10089489996228,74.7059678379057,-2.8227118732608396,32.2485956968573,27.627585004029132,trend_wide.csv (June 2026)
2750,2845,63.831,-0.009164769015300722,31.52592955075642,74.2522011218902,-2.874044586816359,31.622008515461832,27.60986811537659,trend_wide.csv (June 2026)
2748,2845,64.076,-0.005385657477338546,32.31581732201777,76.553887451816,-2.933037410078621,32.480522255805674,28.068268090178243,trend_wide.csv (June 2026)
1658,2880,65.389,-0.0035126678447088278,32.08616419229319,77.00770570373749,-2.985424852905157,31.968458747634383,27.690607782017274,trend_wide.csv (June 2026)
2747,2789,65.045,-0.006993747160688901,32.04250839659363,75.65916934596488,-3.0646914442392905,31.984407116315644,27.76032610481563,trend_wide.csv (June 2026)
1659,2880,64.3675,-0.00943597725267531,32.05628354056506,75.62810735539023,-3.106117870909509,31.991158389340622,27.912737098871094,trend_wide.csv (June 2026)
2749,2845,65.942,-0.0131914184807298,32.164460847412975,76.69401083183291,-3.1782994600756282,32.06640288219761,27.884055660623858,trend_wide.csv (June 2026)
2742,2844,66.26400000000001,-0.011225841999427555,32.18933786204646,75.25647456239743,-3.3074180818926653,32.040395902998895,27.95471371216917,trend_wide.csv (June 2026)
2737,2845,65.938,-0.0018303869179963073,31.955587521336646,75.38737286193773,-3.3290775499020517,31.81269835632237,27.904835996807464,trend_wide.csv (June 2026)
2752,2843,67.389,-0.012172813522183246,32.36244669030161,76.7401524333409,-3.5184073689491333,31.927586737623823,28.015135886993882,trend_wide.csv (June 2026)
