machineId,source,n_running_rows,LR_R2,LR_RMSE,RF_R2,RF_RMSE,RF_MAPE
1661,Full Multi-Year History,26909,0.904133352368903,129.27499188585622,0.9894904155465936,42.805207568029445,49.8820423362576
1657,Full Multi-Year History,43965,0.8766209161244799,117.3479890506566,0.9777014419588657,49.83931312253846,33.66737588962239
2738,trend_wide.csv (June 2026),2880,0.48054023473715174,41.23016248091737,0.6844286465267199,32.07456249243014,70.98258881867989
2741,trend_wide.csv (June 2026),2880,0.4010650205875317,43.987652172963735,0.6801252438484116,32.12352642117439,70.8118481201222
2743,trend_wide.csv (June 2026),2867,0.4087332987373971,43.175464941791745,0.6800391154132729,31.626559069061965,71.2650909230716
2761,trend_wide.csv (June 2026),624,0.21225913295879045,1073.7646870102176,0.6411416823133772,720.4896880448676,340.8114204279923
2744,trend_wide.csv (June 2026),2880,0.43055002501480943,39.60370866460583,0.6359512749514906,31.559482929161824,71.33746082357854
2739,trend_wide.csv (June 2026),2880,0.3883230221891666,40.16193876895393,0.6321866733339017,31.08666232544484,69.51076625046093
2757,trend_wide.csv (June 2026),2867,0.4225034190329623,39.038980576691245,0.6094983374858305,32.03297806011058,72.12888060251036
2740,trend_wide.csv (June 2026),2880,0.3782171175381984,39.017604891162264,0.5859491196322437,31.77104164801306,71.55875536354986
2758,trend_wide.csv (June 2026),2831,0.23693079027030875,42.66449625268105,0.5765878363615328,31.71720573562532,73.77208301735342
2751,trend_wide.csv (June 2026),2856,0.16454436226067087,41.44415731728104,0.4959259490819271,32.1033239205341,73.49931750271233
2759,trend_wide.csv (June 2026),2846,0.06973659281654221,37.815563769355705,0.3567037604220894,31.294713518088646,72.16358390265955
2754,trend_wide.csv (June 2026),2845,0.08994356454566547,38.13427352039936,0.33371302868353214,32.46552313719753,74.99527643750295
2753,trend_wide.csv (June 2026),2844,0.03307337259790988,35.41695922969545,0.21768594228092075,31.792710265091056,71.97055607534571
2755,trend_wide.csv (June 2026),2851,0.019568481718133725,36.265675173548,0.20859198686987349,32.44977908161473,76.34095132200629
2745,trend_wide.csv (June 2026),2844,-0.004381164964913564,34.84311098299027,0.12573842527969908,32.17176432416424,73.62285451087413
2756,trend_wide.csv (June 2026),2824,0.009665538374003723,34.80078790042202,0.09066720660515533,33.13527335237355,76.44925039353029
2737,trend_wide.csv (June 2026),2845,-0.0002857536552336226,31.905155364499628,-0.003150607734298183,31.949766035814157,75.38737286193773
2746,trend_wide.csv (June 2026),2845,-0.003419400762875213,31.844673211817526,-0.0031507427496935136,31.839882737123588,74.95227651729023
1658,trend_wide.csv (June 2026),2880,-0.0036740354710835367,32.07647194876012,-0.0041731574320905684,32.084645811137605,77.00770570373749
2748,trend_wide.csv (June 2026),2845,-0.004260833759963845,32.26573449511451,-0.006880512108921466,32.30927284500366,76.55388745181601
2747,trend_wide.csv (June 2026),2789,-0.00435868696965378,31.96242217938525,-0.009227017210517907,32.04034987121058,75.65996668355554
2760,trend_wide.csv (June 2026),2834,-0.007525626275746688,32.0443956501518,-0.01081265530027573,32.09539485665964,74.70665623475766
1659,trend_wide.csv (June 2026),2880,-0.002960348174605931,31.927999075511185,-0.011042079724861775,32.05617980237999,75.62810735539024
2750,trend_wide.csv (June 2026),2845,-0.004756068952598014,31.422560051005018,-0.011048491427800311,31.521458775861202,74.25220112189022
2742,trend_wide.csv (June 2026),2844,-0.0034918159554606643,32.039732877624296,-0.012717292046876527,32.18630066927806,75.25796566553295
2752,trend_wide.csv (June 2026),2843,-0.0044960370284019115,32.22071021098183,-0.013109423396875153,32.35895251091293,76.74099625237814
2749,trend_wide.csv (June 2026),2845,-0.011701433896140223,32.05025184237846,-0.018644945779029733,32.15999951643745,76.69401083183291
