machineId,Fold,Test Period,n_train,n_test,R2,RMSE,MAPE
2821,1,2026-01-18 -> 2026-02-04,1626,1620,-0.017506858240600165,32.244466582043444,76.54168773453132
2821,2,2026-02-04 -> 2026-02-20,3246,1620,-0.010496131617868665,32.11073246164383,72.45335158173988
2821,3,2026-02-20 -> 2026-03-09,4866,1620,-0.007493994628252176,31.58413734265999,76.43856389425657
2821,4,2026-03-09 -> 2026-03-26,6486,1620,-0.004365843879990505,32.03179849109961,75.019932971728
2821,5,2026-03-26 -> 2026-04-12,8106,1620,-0.00225987838968833,31.579243556285366,73.9516490529768
2821,6,2026-04-12 -> 2026-04-29,9726,1620,-0.00048292244933234585,31.727389531441894,74.11512575730613
2821,7,2026-04-29 -> 2026-05-16,11346,1620,-0.001274519861617751,31.36996628686929,70.63353177337311
2821,8,2026-05-16 -> 2026-06-02,12966,1620,0.002991891974186589,32.42225808029955,78.59226413568338
2821,9,2026-06-02 -> 2026-06-19,14586,1620,-0.035559250601219006,59.275881098307366,70.46790143579094
2821,10,2026-06-19 -> 2026-07-06,16206,1620,0.7386873627697235,42.52319371513386,76.10617670901264
2828,1,2026-01-18 -> 2026-02-03,1616,1615,-0.015040390493212152,31.917594066529478,73.91911704516228
2828,2,2026-02-03 -> 2026-02-20,3231,1615,-0.008649287664377558,31.685742954739595,76.74363873733466
2828,3,2026-02-20 -> 2026-03-09,4846,1615,-0.006311925812941155,31.857614979266323,75.69410229531293
2828,4,2026-03-09 -> 2026-03-26,6461,1615,-0.004062035990051838,31.83566928686664,75.20896188161143
2828,5,2026-03-26 -> 2026-04-12,8076,1615,-0.0015107311982316407,31.956258768040772,75.37440764202717
2828,6,2026-04-12 -> 2026-04-29,9691,1615,-0.00304806712177208,31.378547505917478,70.57677115808933
2828,7,2026-04-29 -> 2026-05-15,11306,1615,0.0004944050394470878,31.925182200675394,73.40973569736823
2828,8,2026-05-15 -> 2026-06-01,12921,1615,-0.00791969624250699,31.997404728346027,76.2407245142267
2828,9,2026-06-01 -> 2026-06-18,14536,1615,-0.00036684379052021043,31.466565002953306,72.25095265733046
2828,10,2026-06-18 -> 2026-07-06,16151,1615,-0.11343744965978675,115.19403671964373,77.63679809967925
2831,1,2026-01-18 -> 2026-02-03,1617,1617,-0.004994058578825067,31.455455568514612,70.506671211921
2831,2,2026-02-03 -> 2026-02-20,3234,1617,-0.009667223372529676,32.55520506154446,75.30752497942328
2831,3,2026-02-20 -> 2026-03-09,4851,1617,-0.00322137474644002,31.591645051012133,75.66110285644068
2831,4,2026-03-09 -> 2026-03-26,6468,1617,-0.003770108452033627,31.40923916078266,68.67406677060231
2831,5,2026-03-26 -> 2026-04-12,8085,1617,-0.002207705665177251,31.505150671601665,72.92066822010995
2831,6,2026-04-12 -> 2026-04-29,9702,1617,0.000492588263489524,32.13541745766981,77.32293460537778
2831,7,2026-04-29 -> 2026-05-15,11319,1617,-0.002596022354855121,31.418659095154517,69.838264068476
2831,8,2026-05-15 -> 2026-06-01,12936,1617,-0.0016897363676882104,32.3167808940306,76.81481811545969
2831,9,2026-06-01 -> 2026-06-19,14553,1617,-0.01691356943780331,58.36252004034981,79.74738032088715
2831,10,2026-06-19 -> 2026-07-06,16170,1617,0.6116311014032669,39.26454951639644,71.90634765558082
