machineId,chiller_type,flow_column,power_column,test_R2,cv_R2_mean,cv_R2_std,RMSE,MAPE,n_train_rows,n_test_rows,tier_1_eligible,status
2825,type_1,Flow ValueY,KW ValueY,0.10923236771612987,-0.23951223061274335,0.562190006511881,50.507299598475406,98.9838030403086,2304,577,False,Validated
2765,type_2,Flow ValueY,KW ValueY,-0.8292855006347584,0.04463454634072994,0.21379549793781558,42.266052902559295,94.43190901160536,2304,577,False,Validated
2762,type_2,Flow ValueY,KW ValueY,-0.5448205761957807,-0.1664815196157811,0.3679066607939278,40.202677424291565,15303.230276451188,2304,576,False,Validated
2764,type_2,Flow ValueY,KW ValueY,-0.5006268308641184,-0.07027237981681296,0.316439767387167,38.00242911525798,87.87556256083204,2304,576,False,Validated
2826,type_2,Flow ValueY,KW ValueY,0.05398868976971616,-0.5908069226529304,0.8769712992320001,54.07518529170733,101.81888507229797,2304,576,False,Validated
2828,type_2,Flow ValueY,KW ValueY,0.2088396148910202,-1.3292154488496633,1.229085072357261,66.06466146633534,116.62706056985105,2304,577,False,Validated
2829,type_2,Flow ValueY,KW ValueY,-0.2522022367730794,-0.2500891503642144,0.0881887651648647,34.313035654366686,80.35715151113331,2304,576,False,Validated
2824,type_2,Flow ValueY,KW ValueY,-0.5777953864732284,-0.4669035986935167,0.5420801360230094,41.273881280090116,129278.09256499063,2304,576,False,Validated
2831,type_2,Flow ValueY,KW ValueY,0.20486540692166744,-0.12219394452978527,0.2994998669646943,48.383417345727274,73.15816767728118,2304,576,False,Validated
2830,type_2,Flow ValueY,KW ValueY,-0.02021013500491864,-0.037054493334288716,0.03172178055898094,33.47447406640528,129500.81987936291,2304,576,False,Validated
2821,type_2,Flow ValueY,KW ValueY,0.18316030243253345,-0.6978928236936786,0.7705707736272087,56.188362014418495,109.48321863867967,2304,577,False,Validated
2781,type_2,Flow ValueY,KW ValueY,-1.6893024004440087,-0.5309739447262085,1.1623039087204736,51.48537631277761,101.78465804143084,2304,576,False,Validated
